route,handler,methods,E1,E2,E3,E4,E5,E6
"api/v1/payment/product-details","GetProductDetails","GET","✓","?","⚠","n/a","n/a","n/a"
"api/v1/payment/validate-coupon","ValidateCoupon","POST","✓","✓","⚠","n/a","n/a","n/a"
"api/v1/payment/check-session","CheckSession","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/v1/payment/create-order","CreateOrder","POST","✓","✓","⚠","⚠","⚠","⚠"
"api/v1/payment/callback/<int:order_id>","PaymentCallback","GET|POST","✓","?","⚠","n/a","n/a","n/a"
"api/v1/payment/callback/<int:order_id>/<int:tracking_id>","PaymentCallback","GET|POST","✓","?","⚠","n/a","n/a","n/a"
"api/v1/payment/order-status","GetOrderStatus","GET","✓","✓","⚠","⚠","⚠","⚠"
"api/v1/payment/invoice","GetInvoice","GET","✓","✓","⚠","n/a","n/a","?"
"api/v1/payment/usage-count","GetUsageCount","GET","✓","?","⚠","n/a","n/a","n/a"
"api/v1/payment/last-usage","GetLastUsage","GET","✓","?","✓","n/a","n/a","?"
"api/v1/companions/payment/product-details","CompanionProductDetails","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/v1/companions/payment/validate-coupon","CompanionValidateCoupon","POST","✓","✓","⚠","n/a","n/a","n/a"
"api/v2/companions/payment/create-order","CompanionCreateOrder","POST","✓","✓","⚠","⚠","⚠","⚠"
"api/v1/companions/payment/callback/<int:order_id>","CompanionPaymentCallback","POST|GET","✓","✓","n/a","n/a","n/a","n/a"
"api/v1/companions/payment/order-status","CompanionOrderStatus","GET","✓","✓","⚠","⚠","⚠","⚠"
"api/v1/companions/payment/invoice","CompanionGetInvoice","GET","✓","?","⚠","n/a","n/a","?"
"api/v1/companions/order-shipping-address","OrderShippingAddressAPIView","GET|POST","✓","✓","⚠","n/a","n/a","n/a"
"api/token/","TokenObtainPairView","","?","?","?","?","?","?"
"api/token/refresh/","TokenRefreshView","","?","?","?","?","?","?"
"admin/","urls","","?","?","?","?","?","?"
"","home","<func>","✓","?","n/a","n/a","n/a","n/a"
"health-check","HealthCheck","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/upload-image","UploadImageToS3","POST","✓","?","⚠","n/a","n/a","n/a"
"college-compare","HealthCheck","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/college-dropdown","CollegeDropdown","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/degree-dropdown","DegreeDropdown","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/course-dropdown","CourseDropdown","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/submit","ComparePostSubmit","POST","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/card-display","CardDisplay","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/top-colleges-courses","TopCollegeCourses","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/colleges-alias","CompareAlias","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/peer-comparison","PeerComparison","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/seo-tags","CompareSeoTagsAPI","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/user-preferences","UserPreference","POST","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/user-preferences/details","UserPreferenceDetails","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/college-facilities","CollegeFacilitiesView","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/college-placements","CollegePlacementsAPI","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/class-profile","ClassProfile","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/course-fee-comparison","CourseFeeComparisonAPI","GET","✓","✓","n/a","n/a","n/a","n/a"
"api/<int:version>/compare/quick-facts","QuickFactsAPI","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/fee-comparison","FeeCompareAPI","GET","✓","✓","⚠","n/a","n/a","n/a"
"api/<int:version>/compare/insights","InsightsView","GET","✓","✓","n/a","n/a","n/a","n/a"
